date,species,mean_value,max_value,latitude,longitude
2026-04-14,olive_pollen,0.0,0.0,55.9533,-3.1883
2026-04-14,ragweed_pollen,0.0,0.0,55.9533,-3.1883
2026-04-15,alder_pollen,0.0,0.1,55.9533,-3.1883
2026-04-15,birch_pollen,0.61,3.4,55.9533,-3.1883
2026-04-15,grass_pollen,0.0,0.0,55.9533,-3.1883
2026-04-15,mugwort_pollen,0.0,0.0,55.9533,-3.1883
2026-04-15,olive_pollen,0.0,0.0,55.9533,-3.1883
2026-04-15,ragweed_pollen,0.0,0.0,55.9533,-3.1883
2026-04-16,alder_pollen,0.15,1.2,55.9533,-3.1883
2026-04-16,birch_pollen,3.13,10.5,55.9533,-3.1883
2026-04-16,grass_pollen,0.0,0.1,55.9533,-3.1883
2026-04-16,mugwort_pollen,0.0,0.0,55.9533,-3.1883
2026-04-16,olive_pollen,0.0,0.0,55.9533,-3.1883
2026-04-16,ragweed_pollen,0.0,0.0,55.9533,-3.1883
2026-04-17,alder_pollen,0.0,0.0,55.9533,-3.1883
2026-04-17,birch_pollen,2.07,7.4,55.9533,-3.1883
2026-04-17,grass_pollen,0.0,0.0,55.9533,-3.1883
2026-04-17,mugwort_pollen,0.0,0.0,55.9533,-3.1883
2026-04-17,olive_pollen,0.0,0.0,55.9533,-3.1883
2026-04-17,ragweed_pollen,0.0,0.0,55.9533,-3.1883
2026-04-18,alder_pollen,0.3,1.7,55.9533,-3.1883
2026-04-18,birch_pollen,4.78,13.8,55.9533,-3.1883
2026-04-18,grass_pollen,0.0,0.0,55.9533,-3.1883
2026-04-18,mugwort_pollen,0.0,0.0,55.9533,-3.1883
2026-04-18,olive_pollen,0.0,0.0,55.9533,-3.1883
2026-04-18,ragweed_pollen,0.0,0.0,55.9533,-3.1883
2026-04-19,alder_pollen,0.05,0.3,55.9533,-3.1883
2026-04-19,birch_pollen,5.21,11.1,55.9533,-3.1883
2026-04-19,grass_pollen,0.0,0.0,55.9533,-3.1883
2026-04-19,mugwort_pollen,0.0,0.0,55.9533,-3.1883
2026-04-19,olive_pollen,0.0,0.0,55.9533,-3.1883
2026-04-19,ragweed_pollen,0.0,0.0,55.9533,-3.1883
2026-04-20,alder_pollen,0.07,0.3,55.9533,-3.1883
2026-04-20,birch_pollen,3.82,7.5,55.9533,-3.1883
2026-04-20,grass_pollen,0.0,0.0,55.9533,-3.1883
2026-04-20,mugwort_pollen,0.0,0.0,55.9533,-3.1883
2026-04-20,olive_pollen,0.0,0.0,55.9533,-3.1883
2026-04-20,ragweed_pollen,0.0,0.0,55.9533,-3.1883
2026-04-21,alder_pollen,0.07,0.2,55.9533,-3.1883
2026-04-21,birch_pollen,25.67,53.4,55.9533,-3.1883
2026-04-21,grass_pollen,0.0,0.0,55.9533,-3.1883
2026-04-21,mugwort_pollen,0.0,0.0,55.9533,-3.1883
2026-04-21,olive_pollen,0.0,0.0,55.9533,-3.1883
2026-04-21,ragweed_pollen,0.0,0.0,55.9533,-3.1883
2026-04-22,alder_pollen,0.0,0.1,55.9533,-3.1883
2026-04-22,birch_pollen,5.92,14.3,55.9533,-3.1883
2026-04-22,grass_pollen,0.0,0.0,55.9533,-3.1883
2026-04-22,mugwort_pollen,0.0,0.0,55.9533,-3.1883
